Feature ,Section (i1),Titre  (i2),MAX 70,Description  (i4),MAX 200,Image (i6),Numéro tuto,Ordre ,Version ,Maquettes associées
"Recherche, affichage des événements de Mes événements emploi (MEE) - et renvoi vers la page de l’évènement sur MEE",milo,Retrouvez les événements liés à l’emploi organisés autour de chez vous !,72,"Dans l'onglet ""Mes événements"", retrouvez désormais les différents types d'événements organisés au sein de votre Mission Locale ou en dehors de votre Mission Locale",164,https://zeroheight.com/api/asset/download.svg?asset_id=114681555&auth=iN5ccdBiiKJxGkfLwA1Zxw,,,,
"Recherche, affichage des événements de Mes événements emploi (MEE) - et renvoi vers la page de l’évènement sur MEE",pe,Retrouvez les événements liés à l’emploi organisés autour de chez vous !,72,"Dans l'onglet ""Mes événements"", recherchez différents types d'événements organisés au sein de votre agence ou par des partenaires externes",138,https://zeroheight.com/api/asset/download.svg?asset_id=114618709&auth=iN5ccdBiiKJxGkfLwA1Zxw,,,,
